ParamID	pK	MeanBC	VarBC	BCmetric
1	0.005	0.816668421174605	0.00190440221873669	428.831899658441
2	0.01	0.803601349104174	0.000972998490489996	825.901948418733
3	0.02	0.724933186917994	0.00140145791378756	517.270750542055
4	0.03	0.68074591782453	0.0049970080732622	136.230702020883
5	0.04	0.663888329721782	0.00679230221342545	97.7412825373937
6	0.05	0.655853748301467	0.0111488052504324	58.8272674577424
7	0.06	0.640324973052705	0.0233413962149358	27.4330193085438
8	0.07	0.601058415778739	0.0422775846518081	14.2169525702324
9	0.08	0.521413228194844	0.042212111446378	12.352218600986
10	0.09	0.443786098130391	0.0307184812363037	14.4468762865111
11	0.1	0.39565354500998	0.0156371574934525	25.3021398023039
12	0.11	0.387959418401867	0.0148473934611646	26.129799780455
13	0.12	0.404382283897052	0.0154993563722162	26.0902629880773
14	0.13	0.401196371538215	0.0152895052435507	26.2399839070951
15	0.14	0.406201631302147	0.0118820662639762	34.1861105869826
16	0.15	0.399794277644169	0.00762910266698637	52.4038402804841
17	0.16	0.438326135695129	0.00717516160255711	61.0893747032704
18	0.17	0.461359216554774	0.00490525240964939	94.0541236261785
19	0.18	0.474703851403716	0.00504578395629276	94.0793057165474
20	0.19	0.469993851083799	0.00809773994272755	58.0401265548041
21	0.2	0.471499259625688	0.0146854318604315	32.1065981652265
22	0.21	0.460369737832317	0.0148767082465955	30.9456722684382
23	0.22	0.472136869511266	0.0116881100469437	40.394629038826
24	0.23	0.497665180558112	0.0101382107139374	49.0880683584481
25	0.24	0.515456873804126	0.0102446390189495	50.3147912630873
26	0.25	0.548292122894835	0.00769142938006999	71.2861154671157
27	0.26	0.576077910235619	0.00654509974973625	88.0166738877942
28	0.27	0.601264136498682	0.0056243050636231	106.904609493454
29	0.28	0.626358144674078	0.00374380125880732	167.305394003105
30	0.29	0.651302302520208	0.00303115557818841	214.869308328101
31	0.3	0.668430413663726	0.0028323336588793	235.999883547693
