ParamID	pK	MeanBC	VarBC	BCmetric
1	0.005	0.830912583646388	0.0015225548008146	545.735748363101
2	0.01	0.831316202233905	0.00164533224717865	505.257344624112
3	0.02	0.801241023605589	0.00313909394095601	255.245952710027
4	0.03	0.752146732988355	0.00465827529222056	161.464637833762
5	0.04	0.67656878427538	0.00371511492970591	182.112477561747
6	0.05	0.642831899040419	0.00315681946146214	203.632772443274
7	0.06	0.630134646099404	0.000260583676688629	2418.16622632257
8	0.07	0.624895102826118	0.00255991689295567	244.107574173869
9	0.08	0.618200568876965	0.00472277863601535	130.897638132484
10	0.09	0.609162361723392	0.00751325387257689	81.0783679155064
11	0.1	0.594673874993845	0.00742724954005528	80.0664999589361
12	0.11	0.588019139874059	0.00697033461668731	84.360245556406
13	0.12	0.584535907019277	0.00778500858677165	75.0848121108724
14	0.13	0.580820178856674	0.00680363381903218	85.3691121988244
15	0.14	0.578226352368738	0.00608948979781944	94.9548109228778
16	0.15	0.575357911396013	0.00543828682117959	105.79764001326
17	0.16	0.567980073790684	0.00502981926455868	112.922561212648
18	0.17	0.556508262033567	0.00415187216318742	134.037908721721
19	0.18	0.543649120331863	0.00264223293503815	205.753668846768
20	0.19	0.529218330940157	0.00128104029159717	413.116070127926
21	0.2	0.509957883815595	0.000839441987069586	607.496279279299
22	0.21	0.495971552712942	0.000517465029608372	958.463904485106
23	0.22	0.502811201044514	0.000831523197543386	604.686919775655
24	0.23	0.516090300580863	0.000947032801637051	544.955042411144
25	0.24	0.536445966595829	0.000623595813770047	860.246260077757
26	0.25	0.564334356129107	0.000338912342890323	1665.13367827307
27	0.26	0.598824942741489	0.000357054409931465	1677.12518340393
28	0.27	0.634143780119045	0.000514758298171966	1231.92531790366
29	0.28	0.666579602280743	0.000638817534008063	1043.45852578356
30	0.29	0.692806040807245	0.000542124374505651	1277.94667310245
31	0.3	0.709449521945493	0.000349499011382314	2029.90423102923
