ParamID	pK	MeanBC	VarBC	BCmetric
1	0.005	0.830580712439263	0.000453597976219296	1831.09439632445
2	0.01	0.830484355872902	0.000556714191163436	1491.76070783706
3	0.02	0.773692518257423	0.00267505133568282	289.225297450202
4	0.03	0.727077004521019	0.00775758354956283	93.7246759736146
5	0.04	0.722503542111822	0.0116324559038452	62.1110063157854
6	0.05	0.697193263640695	0.0106279450687409	65.6000063164881
7	0.06	0.65331305942386	0.00714557515993841	91.4290375233407
8	0.07	0.595907610768561	0.00611418681190796	97.4631016520422
9	0.08	0.566815406253245	0.00479960643295652	118.09622604912
10	0.09	0.565158439179162	0.00343829503933727	164.371711186279
11	0.1	0.546785245821478	0.00115872459261676	471.885424116757
12	0.11	0.533478465684676	0.00170731330100494	312.466648839827
13	0.12	0.528402075965312	0.00237750566032918	222.250606920596
14	0.13	0.531774880308599	0.00298381744955412	178.219642890038
15	0.14	0.524892391517957	0.0031578210926751	166.219800334953
16	0.15	0.522058350994861	0.00267263276341614	195.334861616966
17	0.16	0.524453118382478	0.0032218051044011	162.782384839498
18	0.17	0.531112702717468	0.00212294066096076	250.177837037192
19	0.18	0.533926764590365	0.00195807480428494	272.679451991288
20	0.19	0.544967622344156	0.00206834082464449	263.48057140816
21	0.2	0.556865030839378	0.00252218461407899	220.786784492666
22	0.21	0.563780839141865	0.00234913313037474	239.995269681429
23	0.22	0.569616356971982	0.00210933445492262	270.045537654141
24	0.23	0.56946385974451	0.00162200854165674	351.085610907359
25	0.24	0.568265768242892	0.00128759660655366	441.338355002267
26	0.25	0.569905277254072	0.00104281459312806	546.506810519946
27	0.26	0.570737269001639	0.000859727141588758	663.858614428444
28	0.27	0.571038863136504	0.00112310477083863	508.446654277948
29	0.28	0.571085289756307	0.00111951616181556	510.117950267156
30	0.29	0.573001042871243	0.00145293615828672	394.374549496322
31	0.3	0.573203378056528	0.00183045116051058	313.148687286822
